"orf19"	"feature"	"common"	"description"	"plate"	"position"	"A_Temp1_UP"	"A_Temp1_DN"	"B_Temp1_UP"	"B_Temp1_DN"	"C_Temp1_UP"	"C_Temp1_DN"	"A_Temp2_UP"	"A_Temp2_DN"	"B_Temp2_UP"	"B_Temp2_DN"	"C_Temp2_UP"	"C_Temp2_DN"	"A_Temp1_DOX_UP"	"A_Temp1_DOX_DN"	"B_Temp1_DOX_UP"	"B_Temp1_DOX_DN"	"C_Temp1_DOX_UP"	"C_Temp1_DOX_DN"	"A_Temp2_DOX_UP"	"A_Temp2_DOX_DN"	"B_Temp2_DOX_UP"	"B_Temp2_DOX_DN"	"C_Temp2_DOX_UP"	"C_Temp2_DOX_DN"	"A_YNB1_UP"	"A_YNB1_DN"	"B_YNB1_UP"	"B_YNB1_DN"	"C_YNB1_UP"	"C_YNB1_DN"	"A_YNB1_DOX_UP"	"A_YNB1_DOX_DN"	"B_YNB1_DOX_UP"	"B_YNB1_DOX_DN"	"C_YNB1_DOX_UP"	"C_YNB1_DOX_DN"	"A_YNB2_UP"	"A_YNB2_DN"	"B_YNB2_UP"	"B_YNB2_DN"	"C_YNB2_UP"	"C_YNB2_DN"	"A_YNB2_DOX_UP"	"A_YNB2_DOX_DN"	"B_YNB2_DOX_UP"	"B_YNB2_DOX_DN"	"C_YNB2_DOX_UP"	"C_YNB2_DOX_DN"	"A_YNB3_UP"	"A_YNB3_DN"	"B_YNB3_UP"	"B_YNB3_DN"	"C_YNB3_UP"	"C_YNB3_DN"	"A_YNB3_DOX_UP"	"A_YNB3_DOX_DN"	"B_YNB3_DOX_UP"	"B_YNB3_DOX_DN"	"C_YNB3_DOX_UP"	"C_YNB3_DOX_DN"	"A_YNB4_UP"	"A_YNB4_DN"	"B_YNB4_UP"	"B_YNB4_DN"	"C_YNB4_UP"	"C_YNB4_DN"	"A_YNB4_DOX_UP"	"A_YNB4_DOX_DN"	"B_YNB4_DOX_UP"	"B_YNB4_DOX_DN"	"C_YNB4_DOX_UP"	"C_YNB4_DOX_DN"	"A_YNB5_UP"	"A_YNB5_DN"	"B_YNB5_UP"	"B_YNB5_DN"	"C_YNB5_UP"	"C_YNB5_DN"	"A_YNB5_DOX_UP"	"A_YNB5_DOX_DN"	"B_YNB5_DOX_UP"	"B_YNB5_DOX_DN"	"C_YNB5_DOX_UP"	"C_YNB5_DOX_DN"
"orf19.6070"	"C1_00390W_A"	"ENA2"	"Putative sodium transporter; induced by ciclopirox olamine; alkaline induced by Rim101; repressed by high-level peroxide stress; induced in oral candidiasis clinical isolates; possibly essential gene; rat catheter and Spider biofilm induced"	"Plate 17"	"D04"	2158	2049	2017	1823	2004	1658	898	1235	1065	1034	2140	1447	1806	1341	1710	2232	1888	1809	1030	914	1475	1352	1775	1610	1814	1141	1729	713	2415	1409	2021	1118	1633	893	2239	1356	1297	771	1454	1282	1586	1067	1599	1031	1888	1048	1568	1276	1851	1398	2552	1728	1515	1420	1480	1173	1373	971	1662	1545	1602	1310	1491	956	948	710	1882	1517	1170	1045	1832	1596	1918	1718	1723	1479	1984	1609	1391	847	1826	1428	1667	1500
"orf19.6068"	"C1_00400W_A"	"SVF1"	"Putative survival factor; stationary phase enriched protein; fluconazole-induced; regulated by Gcn4p; repressed in response to amino acid starvation (3-AT treatment); fungal-specific (no human or murine homolog)"	"Plate 12"	"E11"	808	1199	1095	1382	1497	1609	610	919	765	1215	1107	1355	497	634	526	1122	647	1045	346	529	554	751	444	702	663	434	781	448	1072	859	658	498	891	646	645	626	572	535	476	651	830	715	615	597	570	463	587	782	1159	1290	712	834	448	712	606	751	555	730	573	833	876	982	1050	1151	708	813	741	955	530	688	541	884	1510	1684	895	987	1236	1485	806	775	1060	965	944	1153
"orf19.6066"	"C1_00410C_A"	"HFD1"	"Hexadecenal dehydrogenase; involved in the conversion of sphingosine 1-phosphate breakdown product hexadecenal to hexadecenoic acid; Spider biofilm induced"	"GELCPlate 07"	"B01"	1584	1973	1815	1765	1206	1091	1050	1366	939	1443	1137	1165	2597	2381	1601	2461	1230	1649	1684	1880	1026	1181	894	1122	1605	1062	1575	907	1301	957	2630	1906	2196	1464	2098	1869	1573	1110	676	777	1124	894	1654	1348	1658	1160	2572	2791	1533	1371	1870	1814	1432	1707	1586	1671	1996	2045	2098	2422	1173	1141	1770	1557	1684	1807	1580	1631	1566	1882	2019	2252	1628	1308	1911	1466	1842	1732	2239	1510	2327	1941	2151	2216
"orf19.6064"	"C1_00430W_A"	"ATG18"	"Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, ubiquitin binding activity"	"GELCPlate 06"	"H05"	62	604	183	1100	195	1402	75	718	96	706	78	521	107	1056	58	793	94	1390	78	975	64	714	27	463	106	575	111	354	80	507	240	1086	168	789	88	723	63	414	136	1156	156	785	257	881	173	822	162	899	174	770	134	625	74	817	283	1507	178	1045	122	1024	80	655	137	656	110	653	125	635	90	788	145	844	144	1367	117	743	143	897	158	877	237	1002	149	942
"orf19.6063"	"C1_00440W_A"	"UBP6"	"Putative ubiquitin-specific protease of the 26S proteasome; oxidative stress-induced via Cap1p"	"Plate 17"	"E10"	1862	250	1139	169	1072	156	445	112	904	266	812	143	1493	181	1857	368	1808	333	824	199	937	215	1185	285	1687	197	1408	92	1044	107	2041	118	1961	210	2487	309	580	73	544	138	591	98	1033	114	1430	194	1136	363	1300	273	2066	431	682	183	1372	397	1445	381	1617	451	449	89	1404	213	357	69	668	62	1202	262	1308	362	1448	180	1771	278	1465	255	2579	338	2022	385	1801	438
"orf19.6061"	"C1_00470C_A"	"FMP30"	"Ortholog(s) have role in N-acylethanolamine metabolic process, N-acylphosphatidylethanolamine metabolic process and integral component of mitochondrial inner membrane localization"	"Plate 19"	"H05"	0	2025	0	1889	0	950	0	861	0	2218	0	1086	0	2929	0	2409	0	3390	0	1928	0	2295	0	1680	0	1266	0	732	0	1114	0	1441	0	1385	0	1709	0	621	0	1197	0	1385	0	1930	0	1319	0	2016	0	1285	0	2285	0	1314	0	1804	0	1955	0	1907	0	930	0	1971	0	1051	1	1782	0	1802	0	2548	0	1542	0	2250	0	1904	0	1288	0	1893	0	2872
"orf19.6060"	"C1_00480C_A"	"GCN20"	"YEF3-subfamily ABC family protein, predicted not to be a transporter"	"Plate 07"	"D06"	890	1241	1130	1148	688	648	474	881	527	837	855	1055	1665	1784	1126	2098	939	1433	1105	1514	369	475	944	1351	1401	1074	1308	807	875	889	1501	1425	1770	1365	1305	1227	833	710	445	556	629	661	1538	1337	828	768	1212	1418	2058	2068	829	856	932	1223	949	1242	1172	1299	867	1420	673	841	1446	1548	658	791	863	1162	778	1072	1171	1850	1613	1849	1032	1159	1162	1479	1155	1176	1568	1637	1638	2039
"orf19.6059"	"C1_00490C_A"	"GRX2"	"Putative glutaredoxin; described as a glutathione reductase; induced by human neutrophils and benomyl treatment; alkaline repressed; regulated by Gcn2 and Gcn4; required for virulence in mouse model; Spider biofilm induced"	"Plate 21"	"H02"	2020	2160	1652	1367	3314	2942	749	996	1699	1929	1787	1331	1530	1478	1688	2606	1556	1738	1281	1196	1388	1287	1041	1019	2160	1276	2251	971	2246	1134	2093	1291	2766	1400	3109	1956	1906	1177	1143	1081	2212	1539	1769	1072	1927	1065	2276	1903	1742	1311	1663	1265	1748	1618	1642	1332	2116	1633	1307	1264	2387	1911	3089	1985	1882	1360	1615	1397	1708	1693	2213	1988	1932	1632	1455	1275	1884	1752	2149	1501	2027	1503	2649	2367
"orf19.6058"	"C1_00500C_A"	"GLO1"	"Putative monomeric glyoxalase I; oxidative stress-induced via Cap1; flow model and rat catheter biofilm repressed"	"Plate 17"	"D03"	2156	0	1805	0	2517	0	1139	0	847	0	1754	0	2112	0	1388	0	1602	0	1808	0	1861	0	851	0	1182	0	1130	0	723	0	1990	0	1941	0	1501	0	1041	0	1085	0	795	0	954	0	1462	0	1622	0	1022	0	1016	0	870	0	1377	0	1218	0	1540	0	1357	0	1397	1	722	0	1130	0	1048	0	1748	0	2703	1	1431	0	1403	0	1553	0	1340	0	1561	0
"orf19.6057"	"C1_00510W_A"	"ECM31"	"Ortholog(s) have 3-methyl-2-oxobutanoate hydroxymethyltransferase activity, role in pantothenate biosynthetic process, respiratory chain complex IV assembly and mitochondrion localization"	"Plate 18"	"F01"	1577	1401	2129	1686	1089	913	1551	1434	2024	1830	1355	905	38	44	36	19	16	9	97	59	31	34	84	76	2066	1172	1572	583	1656	943	62	51	66	33	55	32	2802	1476	1272	965	828	556	58	23	61	38	51	29	1741	1167	1335	877	1254	1008	38	39	34	38	73	56	1465	1023	2061	1251	1416	1061	58	35	61	45	53	22	2353	1773	1410	917	1586	1415	25	21	35	10	40	26
"orf19.6055"	"C1_00530C_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_00460, C. parapsilosis CDC317 : CPAR2_800010, Candida tenuis NRRL Y-1498 : CANTEDRAFT_125085 and Debaryomyces hansenii CBS767 : DEHA2D09086g"	"Plate 03"	"E09"	1424	1530	1322	1172	1426	1446	1285	1678	766	860	1159	844	1599	1627	919	1382	2077	2483	1427	1475	951	949	1269	1395	2498	1444	2414	1182	1879	1251	2042	1405	2812	1675	1963	1407	1802	1062	1407	1348	1402	1057	2077	1422	2059	1316	1939	1790	1490	1075	1503	1218	1712	1817	2162	1872	1968	1660	1681	2032	1316	1006	2111	1491	1219	921	1792	1435	1548	1572	2325	2188	2502	1994	1671	1346	2585	2577	2371	1524	2801	2229	2200	2031
"orf19.6054"	"C1_00540C_A"	""	"Protein with a Bul1 domain; binds the ubiquitin ligase Rsp5 and is involved in intracellular trafficking of a general amino acid permease Gap1; repressed in an azole-resistant strain overexpressing MDR1; Spider biofilm induced"	"GELCPlate 02"	"A12"	1040	14	1335	18	579	6	632	15	552	8	626	11	1421	6	668	5	1193	14	1108	21	619	7	975	12	837	9	1248	4	962	16	1160	2	1528	10	1349	11	656	10	591	17	573	9	1331	3	1014	14	1424	28	864	15	1096	17	618	13	1758	38	1109	26	850	28	1045	21	779	12	674	14	749	2	988	15	1084	34	1286	7	841	12	1590	25	977	8	1426	33	831	17
"orf19.6045"	"C1_00610W_A"	"PSD1"	"Phosphatidylserine decarboxylase; involved in phosphatidylethanolamine synthesis; Spider biofilm repressed"	"Plate 16"	"D08"	0	106	0	160	0	60	0	119	0	136	0	77	0	5	0	15	0	11	0	8	0	7	0	14	0	90	0	56	0	130	0	27	0	22	0	50	0	142	0	177	0	161	0	33	0	21	0	21	0	156	0	194	0	293	0	31	0	14	0	27	0	206	0	191	0	109	0	43	0	34	0	57	0	191	0	186	0	190	0	21	0	25	0	47
"orf19.6043"	"C1_00630W_A"	""	"Ortholog(s) have mitochondrial membrane localization"	"Plate 18"	"E03"	1657	1328	1817	1216	2683	1968	557	594	1016	1006	1592	1182	2473	1649	1692	1856	2206	1847	1952	1701	1104	962	1681	1511	1542	742	2132	838	2226	1117	2062	1186	2430	1009	2606	1505	1287	777	671	558	1608	1104	2403	1388	1981	1079	2463	1938	1992	1270	2006	1399	1605	1448	2628	2030	2030	1647	1527	1526	1216	871	1472	981	1286	982	1371	1233	1746	1496	1989	2012	2252	1705	1953	1335	1801	1258	2165	1238	3291	2205	2238	1782
"orf19.6041"	"C1_00640C_A"	"RPO41"	"Putative mitochondrial RNA polymerase; repressed in core stress response; Spider biofilm induced"	"Plate 17"	"D02"	347	500	1652	1764	882	1086	431	789	801	1280	498	659	0	5	0	1	1	5	3	6	2	1	12	7	585	526	581	373	444	380	4	0	0	5	8	6	578	499	371	451	447	488	6	2	5	4	1	4	379	428	342	375	537	756	4	5	1	2	7	3	571	693	582	607	531	803	0	5	2	2	2	1	876	1166	658	748	524	698	2	0	4	2	4	7
"orf19.6038"	"C1_00670C_A"	""	"Predicted Zn(II)2Cys6 transcription factor; has similarity to S. cerevisiae Uga3, a transcription factor involved in the regulation of gamma-aminobutyrate metabolism genes; rat catheter biofilm induced"	"GELCPlate 04"	"H01"	878	988	766	836	863	937	1422	1937	818	1212	910	922	1313	1468	899	1531	1195	1590	1009	1163	609	722	962	1186	965	704	2158	1126	1438	888	2355	1584	1903	1118	1850	1433	962	712	1415	1480	964	898	1545	1186	1211	854	1392	1420	792	682	1132	1095	854	829	1153	1148	1130	1055	1240	1389	1178	1165	951	728	760	858	774	798	1342	1488	1255	1478	2044	1932	1597	1353	1517	1506	1393	1030	1369	1342	1458	1564
"orf19.6035"	"C1_00700W_A"	""	"Protein of unknown function; repressed by nitric oxide"	"Plate 05"	"G06"	38	647	103	1037	100	1169	45	750	52	836	69	880	33	547	27	496	29	518	78	644	31	363	19	425	67	475	129	529	58	419	120	872	114	594	82	706	60	464	57	657	64	424	134	679	116	632	84	884	117	879	146	1029	47	787	100	914	91	714	55	697	50	670	104	678	79	629	64	538	65	821	122	831	78	1554	127	1245	115	1076	74	590	99	749	80	719
"orf19.6034"	"C1_00710C_A"	"TUB2"	"Beta-tubulin; functional homolog of ScTub2; overproduction makes S. cerevisiae inviable; has two introns; GlcNAc, hypha fluconazole-induced; slow growth, ectopic expression increases white-to opaque switch; rat catheter biofilm repressed"	"Plate 04"	"G05"	34	0	99	0	82	0	120	0	209	0	94	0	3	0	2	0	0	0	1	0	0	0	2	0	614	0	230	0	253	0	0	0	1	0	0	0	214	0	1008	0	498	0	0	0	0	0	0	0	492	0	306	0	393	0	0	0	0	0	6	0	485	0	553	0	340	0	0	0	0	0	0	0	789	0	754	0	461	0	9	0	0	0	0	0
"orf19.6033"	"C1_00730C_A"	"CMP2"	"Catalytic subunit of calcineurin (Ca[2+]-calmodulin-regulated S/T protein phosphatase); required for wild-type virulence, resistance to high pH, Na(+), Li(+), Mn(2+), and fluconazole tolerance; micafungin is fungicidal to null mutant"	"GELCPlate 06"	"G10"	455	0	944	0	550	0	572	0	507	0	682	0	1201	0	1161	0	1256	0	779	0	1059	0	781	0	803	0	1797	0	645	0	1048	0	1217	0	990	0	947	0	1001	0	596	0	1461	0	804	0	1174	0	904	0	850	0	748	0	715	0	692	0	796	0	854	0	702	0	938	0	1079	0	1353	0	1342	0	1239	0	599	0	1163	0	1292	0	1654	0	958	0
"orf19.6029"	"C1_00770C_A"	"ROT1"	"Similar to S. cerevisiae Rot1p, which is involved in cell wall 1,6-beta-glucan biosynthesis; has predicted transmembrane region; possibly an essential gene, disruptants not obtained by UAU1 method"	"Plate 05"	"D07"	1547	1846	904	965	2178	1979	708	1258	862	1206	1265	1195	2	4	2	3	0	2	1	1	0	0	4	1	820	615	1614	927	1498	1070	4	5	7	16	4	9	1351	970	1062	1197	1489	1225	2	11	1	3	3	5	981	867	1735	1568	826	1191	9	8	10	5	11	13	1443	1416	1678	1405	1303	1218	1	8	3	4	3	7	1520	1805	1255	1371	1469	1490	8	7	8	3	11	10
"orf19.6028"	"C1_00780C_A"	"CLN2"	"Hypha-specific G1 cyclin-related protein involved in regulation of morphogenesis, biofilm formation; Cdc28-Hgc1 maintains Cdc11 S394 phosphorylation during hyphal growth; required for virulence in mice; regulated by Nrg1, Tup1, farnesol"	"GELCPlate 03"	"C02"	0	902	0	435	0	654	0	431	0	314	0	276	0	1096	0	2771	0	1860	0	1099	0	1106	0	1686	0	679	0	602	0	563	0	1229	0	999	0	1023	0	253	0	1244	0	409	0	1131	0	948	0	1361	0	421	0	500	0	1306	0	1295	0	1247	0	1641	0	464	0	559	0	356	0	951	0	820	0	1445	0	886	0	1448	0	977	0	1190	0	1339	0	1110
"orf19.6020"	"C1_00860W_A"	"ATG3"	"Ortholog(s) have Atg8 ligase activity and role in C-terminal protein lipidation, autophagosome assembly, autophagy of mitochondrion, late nucleophagy, piecemeal microautophagy of the nucleus, protein localization by the Cvt pathway"	"Plate 20"	"B11"	1656	1503	1890	1480	1736	1417	1012	1233	1757	1552	1333	991	1340	925	1898	2489	1544	1558	1632	1483	1457	1180	1152	963	1424	706	2165	803	1742	979	1343	730	2032	974	1755	1065	923	483	1080	949	1006	597	1912	1172	1115	551	1463	1145	2383	1505	1382	969	984	985	1085	835	1751	1358	1098	921	1456	1044	1393	832	1464	1069	1120	799	1743	1440	1411	1258	2068	1368	1432	1101	1225	971	1759	1041	1662	1156	2010	1726
"orf19.6016"	"C1_00890W_A"	"GEM1"	"Putative outer mitochondrial membrane GTPase, subunit of the ERMES complex; required for mitochondrial morphology and invasive growth"	"GELCPlate 07"	"C08"	0	1040	0	1116	0	570	0	954	0	653	0	1017	0	600	0	469	0	792	0	830	0	602	0	614	0	487	0	358	0	941	0	741	0	674	0	708	0	529	0	526	0	592	0	688	0	573	0	1171	0	894	0	594	0	968	0	1226	0	1399	0	1161	0	758	0	1032	0	535	0	839	0	1053	0	950	0	1286	0	884	0	1634	0	799	0	922	0	1165
"orf19.6012"	"C1_00920W_A"	"YOR296W"	"Ortholog(s) have cytoplasm localization"	"Plate 23"	"F09"	0	1556	0	1453	0	1757	0	864	0	1838	0	1215	0	1975	0	2135	0	2588	0	1328	0	828	0	933	0	1034	0	1013	0	684	0	1469	0	1101	0	1628	0	758	0	1107	0	825	0	1285	0	917	0	2319	0	1252	0	1199	0	2344	0	1391	0	2139	0	1829	0	1121	0	1455	0	606	0	928	0	1416	0	1823	0	1828	0	1270	0	1226	0	1176	0	1771	0	1815
"orf19.6011"	"C1_00930C_A"	"SIN3"	"Protein similar to S. cerevisiae Sin3p (transcriptional corepressor involved in histone deacetylase recruitment); has paired amphipathic helix PAH1 domain; interacts with ScOpi1p, not CaOpi1p; transposon mutation affects filamentous growth"	"Plate 17"	"F04"	2210	2323	2287	1875	3115	2616	1216	1790	974	1314	1721	1361	926	777	713	991	686	754	645	797	439	486	531	553	1609	1147	1276	626	2035	1356	2422	1619	2852	1790	2718	2055	696	550	1053	1021	1176	1023	1514	1219	798	583	1063	1073	1577	1357	540	527	873	897	1813	1688	2236	1994	1074	1244	597	593	926	786	1063	1036	997	1053	1217	1330	1547	1688	2578	2375	1778	1729	1421	1347	2674	1915	2584	2324	3145	3292
"orf19.6010.1"	"C1_00940W_A"	"RPB11"	"Putative R polymerase II subunit; flucytosine induced"	"GELCPlate 09"	"G03"	614	581	717	533	2174	1619	1036	1061	628	633	671	480	22	16	3	5	7	4	20	11	4	6	23	13	884	428	713	282	1269	693	35	6	26	18	31	19	1578	986	674	577	566	450	12	11	13	7	14	18	850	635	1032	717	864	783	5	6	31	19	14	13	662	464	949	600	807	562	9	5	23	12	9	25	1131	1040	936	754	1052	733	28	5	26	22	26	11
"orf19.3290"	"C1_01010W_A"	""	"Plasma membrane-localized protein; repressed by nitric oxide; Hap43p-repressed gene"	"Plate 21"	"C12"	2354	1145	1613	729	1697	764	1048	605	569	343	1244	560	994	424	752	486	692	384	932	522	674	358	314	203	1536	421	816	201	1959	679	2090	709	1569	452	2235	817	1048	379	1105	519	968	369	1307	455	1127	356	1783	904	1868	657	1110	492	1528	815	1485	671	1674	800	1261	709	1419	726	1421	562	909	424	1316	656	1075	627	1235	646	2730	1270	1751	732	1971	851	1426	482	1331	546	1665	888
