orf19	names
orf19.395	ENO1
orf19.397	MRPL28_S.cer
orf19.399	YPK1_S.cer
orf19.400	GCF1
orf19.403	PCL2
orf19.405	VCX1
orf19.406	ERG1
orf19.4721	MTF2_S.cer
orf19.4722	RTG1
orf19.4725	SWI6
orf19.4730	YNL050C_S.cer
orf19.4735	YGL159W_S.cer
orf19.4736	PHO8_S.cer
orf19.4737	TPO3
orf19.4739	MSS116
orf19.4743	AFG1
orf19.4752	MSN4
orf19.4754	ZWF1
orf19.4755	KEX2
orf19.4758	orf19.4758
orf19.4759	COX5
orf19.4760	HPM1_S.cer
orf19.4761	HST1
orf19.4764	PAN2_S.cer
orf19.4766	ARG81
orf19.4767	ZCF28
orf19.4768	orf19.4768
orf19.4769	IPT1
orf19.4773	AOX2
orf19.4776	LYS143
orf19.4778	LYS142
orf19.4779	VBA5_S.cer
orf19.4780	orf19.4780
orf19.4781	GRP1
orf19.4783	orf19.4783
orf19.4785	PTC1
orf19.4787	JJJ2_S.cer
orf19.4788	ARG5,6
orf19.4793	TMA16_S.cer
orf19.4800	RIM20
orf19.4801	MOD5_S.cer
orf19.4802	FTH1
orf19.4804	LIP2
orf19.4805	RSN1_S.cer
orf19.4807	PPA2_S.cer
orf19.4808	NUP188
orf19.4809	ERG12
orf19.4813	GUA1
orf19.4816	YMR209C_S.cer
orf19.4821	LIP1
orf19.4822	LIP10
orf19.4823	LIP6
orf19.4826	IDH1
orf19.4827	ADE12
orf19.4830	orf19.4830
orf19.4831	MTS1
orf19.4833	MLS1
orf19.4836	URA1
orf19.4837	DAM1
orf19.4843	FRE8_S.cer
orf19.4844	AIR2_S.cer
orf19.4845	TVP18
orf19.4846	YGR210C_S.cer
orf19.4850	YPL260W_S.cer
orf19.4853	HCM1
orf19.4855	BUD31
orf19.4856	LIP3
orf19.4866	CPP1
orf19.4867	SWE1
orf19.4874	MNN23
orf19.4882	TFA2_S.cer
orf19.4883	COS111_S.cer
orf19.4884	WOR1
orf19.4885	MIR1
orf19.4887	ECM21
orf19.4889	HOL1_S.cer
orf19.4890	CLA4
orf19.4892	TPK1
orf19.4896	RPA34
orf19.4897	SFH5
orf19.4898	FMP52_S.cer
orf19.4899	GCA1
orf19.4904	ARP6_S.cer
orf19.4905	orf19.4905
orf19.4906	BCK2_S.cer
orf19.4907	YCR061W_S.cer
orf19.4909	CBK1
orf19.4909.1	RPL42
orf19.4912	LDB19_S.cer
orf19.984	PHO8
orf19.988	YGR149W_S.cer
orf19.991	DJP1
orf19.1002	orf19.1002
orf19.1005	orf19.1005
orf19.1832	FCY23
orf19.1836	APN2
orf19.2352	IMO32_S.cer
orf19.2350	AMF1_S.cer
orf19.2347	MNN2
orf19.2346	FMP40_S.cer
orf19.2344	ASR1
orf19.2343	VPS23
orf19.2341	HNT1
orf19.2337	ALP1
orf19.2333	TDA3_S.cer
orf19.2329.1	RPS17B
orf19.2330	UTP6_S.cer
orf19.2326	ESC2_S.cer
orf19.2320	RIO1_S.cer
orf19.2312	orf19.2312
orf19.2311	RPL82
orf19.2309	PET127
orf19.2308	PFK27_S.cer
orf19.2306	ADI1_S.cer
orf19.2304	orf19.2304
orf19.2303	FGR16
orf19.2302	CSG2_S.cer
orf19.2301	NAS2_S.cer
orf19.2298	WBP1
orf19.2297	ARL3
orf19.681	HAP43
orf19.673	orf19.673
orf19.671	PSP1
orf19.669	PRM1
orf19.668	TOS4
orf19.667.1	RPL37B
orf19.666	LCD1_S.cer
orf19.663	GIN4
orf19.658	GIN1
orf19.657	SAM2
orf19.656	DPP1
orf19.1171	BTA1
orf19.1170	ARO7
orf19.1169	JID1_S.cer
orf19.1168	ZCF3
orf19.1167	JLP1_S.cer
orf19.1163	YDR336W_S.cer
orf19.1162	orf19.1162
orf19.1161	PLD1
orf19.1160	SVP26_S.cer
orf19.1159	orf19.1159
orf19.1158	YFT2_S.cer
orf19.1156	FUS1
orf19.1155	DPP2
orf19.1154	EGD1
orf19.1153	GAD1
orf19.1152	orf19.1152
orf19.1150	orf19.1150
orf19.1149	MRF1
orf19.1142	AVT4
orf19.1139	SVL3_S.cer
orf19.1135	CAS1
orf19.5278	YJR111C_S.cer
orf19.5276	THP1_S.cer
orf19.5270	orf19.5270
orf19.5265	KIP4
orf19.5263	SER33
orf19.5262	orf19.5262
orf19.5257	LCB4
orf19.5255	PXA2
orf19.5253	orf19.5253
orf19.5251	ZCF30
orf19.5250	orf19.5250
orf19.5243	TRP3
orf19.5238	orf19.5238
orf19.5237	VPH2
orf19.5234	RBD1
orf19.5229	DIS3_S.cer
orf19.5228	RIB3
orf19.5224	PKH2
orf19.5220	REX4_S.cer
orf19.5219	IRA2
orf19.3765	RAX2
orf19.3764	GSG1
orf19.3763	orf19.3763
orf19.3759	ELP4_S.cer
orf19.3757	ATP20
orf19.3756	CHR1
orf19.6358	MMS2_S.cer
orf19.6354	orf19.6354
orf19.6348	orf19.6348
orf19.6344	RBK1
orf19.4916	orf19.4916
orf19.4921	orf19.4921
orf19.4922	YIP5_S.cer
orf19.4923	orf19.4923
orf19.4927	BNI1
orf19.4929	PET309_S.cer
orf19.4930	SPC3
orf19.4932	MEF1_S.cer
orf19.4933	FAD3
orf19.4937	CHS3
orf19.4939	MON2
orf19.4940	orf19.4940
orf19.4941	TYE7
orf19.4943	PSA2
orf19.4945	MSH6
orf19.4950	AKR1
orf19.4953	POF1_S.cer
orf19.4955	SPS22_S.cer
orf19.4958	ECM25
orf19.4961	STP2
orf19.4962	RMP1
orf19.4967	COX19
orf19.4975	HYR1
orf19.4979	KNS1
orf19.4981	ECM27_S.cer
orf19.4984	orf19.4984
orf19.4985	GUP1
orf19.4996	YBL029W_S.cer
orf19.4997	KIS2
orf19.5001	CUP2
orf19.5004	RAD54
orf19.5005	OSM2
orf19.5006	GCV3
orf19.5006.1	SNC2_S.cer
orf19.5015	MYO2
orf19.5016	YAL044W-A_S.cer
orf19.5023	DAL7
orf19.5025	MET3
orf19.5029	MODF
orf19.5031	SSK1
orf19.5034	YBP1
orf19.5035	HPC2
orf19.7207	DOA4
orf19.7208	CSK1
orf19.7213	HRQ1_S.cer
orf19.7216	YPT52
orf19.7217	RPL4B
orf19.7218	RBE1
orf19.7219	FTR1
orf19.7223	RKM3_S.cer
orf19.7225	orf19.7225
orf19.7229	IML2
orf19.7231	FTR2
orf19.7237	BNA7_S.cer
orf19.7238	NPL3
orf19.7245	SLM3_S.cer
orf19.7247	RIM101
orf19.7254	AEP3_S.cer
orf19.7257	MLH3
orf19.7258	DDI1
orf19.7265	SAD1_S.cer
orf19.7267	SAM35
orf19.7269	PAA1_S.cer
orf19.7270	orf19.7270
orf19.1923	RRN3
orf19.1920	orf19.1920
orf19.1914	FAV3
orf19.1913	orf19.1913
orf19.1911	PGA52
orf19.1910	orf19.1910
orf19.2117	LEU5
orf19.2115	TCD2_S.cer
orf19.2114	orf19.2114
orf19.2113	PEX30_S.cer
orf19.2112	PRP18_S.cer
orf19.2110	ATE1_S.cer
orf19.2107	MUQ1
orf19.2106	YLR326W_S.cer
orf19.2102	CKB1
orf19.2101	GET1_S.cer
orf19.2098	ARO8
orf19.2095	FRA1_S.cer
orf19.2094	PDR6
orf19.2092	STR3_S.cer
orf19.2090	ECM16_S.cer
orf19.2088	DPB4
orf19.2087	SAS2
orf19.2077	ZCF9
orf19.2075	DFG5
orf19.2073	YDR338C_S.cer
orf19.2072	HNM1_S.cer
orf19.2070	RSC58_S.cer
orf19.2068	orf19.2068
orf19.2067	NFU1_S.cer
orf19.2065	DAL2_S.cer
orf19.2064	orf19.2064
orf19.2062	SOD4
orf19.2060	SOD5
orf19.2059	orf19.2059
orf19.2057	YTA12_S.cer
orf19.2055	NPL6
orf19.2054	FGR15
orf19.2050	TGL1_S.cer
orf19.2046	POT1-2
orf19.2045	DGK1_S.cer
orf19.2044	PGA27
orf19.2043	orf19.2043
orf19.2036	orf19.2036
orf19.2033	PGA19
orf19.2031	VPS24
orf19.2028	MXR1
orf19.2026	UBP13
orf19.2019	MRPL16_S.cer
orf19.2016	ERG28
orf19.2014	BCY1
orf19.2008	MRI1_S.cer
orf19.2007	VPS54_S.cer
orf19.2006	YPL162C_S.cer
orf19.2003	HNM1
orf19.1998	orf19.1998
orf19.1995	MNN24
orf19.1993	RPN9_S.cer
orf19.1442	PLB4.5
orf19.1444	ENT2_S.cer
orf19.1445	ESC4
orf19.1446	CLB2
orf19.1449	DDI3_S.cer
orf19.1451	SRB9
orf19.1453	SPT5
orf19.1462	SMP2
orf19.1465	orf19.1465
orf19.1468	CDC55
orf19.1471	COX4
orf19.1477	MPO1_S.cer
orf19.1479	PIB2_S.cer
orf19.1480	SHH3_S.cer
orf19.1481	HAP42
orf19.1484	SPC24_S.cer
orf19.1490	MSB2
orf19.1493	RAD7
orf19.1495	UTR4_S.cer
orf19.1496	orf19.1496
orf19.1497	ZCF6
orf19.1499	CTF1
orf19.1504	orf19.1504
orf19.1509	ROD1
orf19.1514	VPS74_S.cer
orf19.1516	UBP14_S.cer
orf19.1517	ARO3
orf19.1523	FMO1
orf19.1525	NMD4_S.cer
orf19.1526	SNF2
orf19.1528	MTF1_S.cer
orf19.1531	RNA14_S.cer
orf19.1532	SAM37
orf19.1533	YKL077W_S.cer
orf19.1536	ZRC1_S.cer
orf19.1538	TLG2
orf19.1542	HEX3
orf19.1543	OPI1
orf19.1545	MRPS8_S.cer
orf19.1548	SNU23_S.cer
orf19.1555	SAC3
orf19.1559	HOM2
orf19.1564	YET3_S.cer
orf19.1567	VAM6_S.cer
orf19.1575	PRS1
orf19.1576	ETP1_S.cer
orf19.1577	GAT2_S.cer
orf19.1585	ZRT2
orf19.1586	FGR22
orf19.1587	HGT20
orf19.5839	PDR17
orf19.5838	SER2
orf19.5832	HPT1
orf19.5830	LHS1
orf19.5827	BUB2
orf19.5826	orf19.5826
orf19.5818	SUR2
orf19.5816	EBP7
orf19.5815	SCT2
orf19.5814	orf19.5814
orf19.5812	ETT1_S.cer
orf19.5808	EFM2_S.cer
orf19.5796	SHE9
orf19.5792	SMP3
orf19.5789	ADE8
orf19.5788	EFT2
orf19.5784	AMO1
orf19.5782	YOR022C_S.cer
orf19.5777	YBR096W_S.cer
orf19.908	FEN12
orf19.906	ROM2
orf19.898	HEM2
orf19.897	VPS20
orf19.896	CHK1
orf19.895	HOG1
orf19.893	PGA17
orf19.889	THI20
orf19.876	PGA33
orf19.873	orf19.873
orf19.868	ADAEC
orf19.867	AIM14_S.cer
orf19.866	RAD32
orf19.864	NMD2_S.cer
orf19.863	MRPL35_S.cer
orf19.851	orf19.851
orf19.848	PGA16
orf19.847	YIM1
orf19.846	NNK1_S.cer
orf19.844	STE11
orf19.843	DCR2_S.cer
orf19.841	COY1_S.cer
orf19.836	orf19.836
orf19.835	IES1_S.cer
orf19.831	orf19.831
orf19.829	SCH9
orf19.826	MED1
orf19.822	HSP21
orf19.814	SSY1
orf19.811	YLR283W_S.cer
orf19.809	NOP12_S.cer
orf19.808	DEP1_S.cer
orf19.807	CHS5
orf19.805	YGR021W_S.cer
orf19.804	YPR011C_S.cer
orf19.799	STE4
orf19.798	TAF14
orf19.797	BAT21
orf19.795	VPS36
orf19.794	SSN3
orf19.791	RIM11
orf19.4520	YDR248C_S.cer
orf19.4519	SUV3
orf19.4518	YPL150W_S.cer
orf19.4517	orf19.4517
orf19.4506	LYS22
orf19.4503	LSO2_S.cer
orf19.4502	MOT1_S.cer
orf19.4496	GDT1
orf19.4494	KTR2
orf19.144	SNU114
orf19.147	YAK1
orf19.151	TPO5
orf19.193	orf19.193
orf19.191	KIC1
orf19.190	SWC3_S.cer
orf19.183	HIS3
orf19.4128	orf19.4128
orf19.4123	THO2_S.cer
orf19.3523	CRK1
orf19.3526	ITR1
orf19.3527	CYT1
orf19.3530	CKA2
orf19.3532	MRPL10
orf19.3533	EMI1_S.cer
orf19.3536	GNT1_S.cer
orf19.3539	BMT2_S.cer
orf19.3542	LEM3
orf19.3545	CDC15
orf19.3546	PEX2
orf19.3548	YBL095W_S.cer
orf19.3555	BUD14
orf19.3557	GPI19
orf19.3558	ERP3_S.cer
orf19.3559	MRPS35_S.cer
orf19.3574	MDJ2
orf19.3575	CDC19
orf19.3577	COQ5
orf19.3581	MSI1_S.cer
orf19.6866	SNP1_S.cer
orf19.6868	orf19.6868
orf19.6869	AST2_S.cer
orf19.6874	orf19.6874
orf19.6875	VPS35
orf19.6877	PNG2
orf19.6882	OSM1
orf19.6882.1	RPL33A_S.cer
orf19.6883	KES1_S.cer
orf19.6885	SPO7
orf19.6886	NOP53_S.cer
orf19.6887	orf19.6887
orf19.6889	MKK2
orf19.5205	orf19.5205
orf19.5206	SHQ1_S.cer
orf19.5214	VPS33
orf19.4119	SPO72
orf19.4118	CNT
orf19.4112	YJR142W_S.cer
orf19.4106	YJR141W_S.cer
orf19.4102	RPN10
orf19.5480	ILV1
orf19.5484	SER1
orf19.5485	MEC3
orf19.5495	orf19.5495
orf19.5496	AVT1
orf19.5498	EFH1
orf19.5499	orf19.5499
orf19.23	RTA3
orf19.24	RTA2
orf19.25	TRM10_S.cer
orf19.26	PNG1_S.cer
orf19.28	TPC1_S.cer
orf19.35	orf19.35
orf19.1296	PRP31_S.cer
orf19.1223	DBF2
orf19.1224	FRP3
orf19.3152	AMO2
orf19.3151	orf19.3151
orf19.3149	LSP1
orf19.2236	FHL1
orf19.2241	PST1
orf19.2245	YPT72
orf19.2246	YPL199C_S.cer
orf19.2248	ARE2
orf19.2251	AAH1
orf19.2261	HSH49_S.cer
orf19.2264	OLE2
orf19.2266	IOC3_S.cer
orf19.2268	RCK2
orf19.2269	YNL010W_S.cer
orf19.2272	AFT2
orf19.2276	RPB9_S.cer
orf19.2277	TPK2
orf19.2281	orf19.2281
orf19.2282	orf19.2282
orf19.2284	orf19.2284
orf19.2285	orf19.2285
orf19.2290	TOR1
orf19.1900	TGS1_S.cer
orf19.1891	APR1
orf19.1890	YMR210W_S.cer
orf19.1887	YEH1_S.cer
orf19.1881	LPT1
orf19.1880	HEM15
orf19.1874	MEK1_S.cer
orf19.1872	orf19.1872
orf19.1871	SWR1
orf19.1866	VMA10
orf19.1865	MCS7
orf19.1860.1	orf19.1860.1
orf19.2214	MRPL7_S.cer
orf19.2209	YVC1
orf19.2199	PHO86
orf19.2198	FLC3
orf19.2197	orf19.2197
orf19.2194	APM4
orf19.2193	PRS5
orf19.2192	GDH2
orf19.2186	SEH1
orf19.2185	NSA1
orf19.2182	BLM3
orf19.2175	AIF1_S.cer
orf19.2172	ARA1
orf19.2167	RRP14_S.cer
orf19.2166	VMA5
orf19.2165	orf19.2165
orf19.2222	YCK3_S.cer
orf19.2660	EAF3
orf19.1354	UCF1
orf19.3638	PGA46
orf19.3631	STN1
orf19.3630	RRP8
orf19.3627	orf19.3627
orf19.3624	MSU1
orf19.3618	YWP1
orf19.3617	GTR1
orf19.3613	PAF1_S.cer
orf19.3612	PST2
orf19.3611	orf19.3611
orf19.3609	UTP15
orf19.3608	MSH3
orf19.3607	orf19.3607
orf19.3606	SNA4_S.cer
orf19.3603	MFG1
orf19.3592	JEM1
orf19.3591	APE3
orf19.3589	SPO11
orf19.3586	RCR1_S.cer
orf19.225	orf19.225
orf19.223	FPK1_S.cer
orf19.216	orf19.216
orf19.212	VPS28
orf19.207	PGA55
orf19.206	orf19.206
orf19.203	STB3
orf19.200	THO1_S.cer
orf19.4067	FGR18
orf19.4072	IFF6
orf19.4077	MIT1
orf19.4079	SLP2
orf19.4081	orf19.4081
orf19.4088	GLO2
orf19.4091	MED18
orf19.1404	DUS1_S.cer
orf19.1395	PIC2_S.cer
orf19.1394	YCR090C_S.cer
orf19.1388	NOP16_S.cer
orf19.1382	YEA4
orf19.1381	LSB5_S.cer
orf19.1375	LEU42
orf19.1367	MTW1
orf19.1366	orf19.1366
orf19.1365	orf19.1365
orf19.1364	orf19.1364
orf19.1363	YOR338W_S.cer
orf19.1362	SMM1
orf19.1359	UBX4_S.cer
orf19.1357	FCY21
orf19.1355	SOL1_S.cer
orf19.1785	orf19.1785
orf19.1782	IRC22_S.cer
orf19.1777	UBP15_S.cer
orf19.1773	RAP1
orf19.1772	YER077C_S.cer
orf19.1763	IFR1
orf19.1760	RAS1
orf19.1757	MET32_S.cer
orf19.1756	GPD1
orf19.1755	SET2
orf19.1754	CMK2
orf19.1747	KIP2
orf19.5323	MDH1-3
orf19.5325	KIN3
orf19.5326	orf19.5326
orf19.5335	SGS1
orf19.5337	UBC15
orf19.5341	RPS4A
orf19.5343	ASH1
orf19.5350	CTK3_S.cer
orf19.5352	orf19.5352
orf19.5357	AKL1
orf19.5364	ECM2_S.cer
orf19.5369	HEM12_S.cer
orf19.5463	SEC6
orf19.5459	PBP1_S.cer
orf19.5455	VTC1_S.cer
orf19.5450	ETR1
orf19.5449	orf19.5449
orf19.5447	HGT19
orf19.5443	BNA4
orf19.5441	ULP3
orf19.5440	RPT2
orf19.5438	SLX8_S.cer
orf19.5437	RHR2
orf19.5433	MZM1_S.cer
orf19.5426	TGL4_S.cer
orf19.5418	TED1_S.cer
orf19.5416	ESA1
orf19.5412	ECM9_S.cer
orf19.5411	UBC12_S.cer
orf19.5408	HRK1
orf19.5406	PSR1_S.cer
orf19.5393	orf19.5393
orf19.5392	NGT1
orf19.5389	FKH2
orf19.5384	CHS8
orf19.5380	LYS144
orf19.5376	ELM1_S.cer
orf19.3071	MIH1
orf19.1289	SCT1
orf19.6155	CDC9_S.cer
orf19.6165	KGD1
orf19.6166	orf19.6166
orf19.6167	AYR1
orf19.6168	orf19.6168
orf19.6169	ATO1
orf19.2496	ATO2
orf19.2498	SAN1_S.cer
orf19.2510	CIN1_S.cer
orf19.2514	orf19.2514
orf19.158	APD1_S.cer
orf19.1730	NHP10_S.cer
orf19.1729	orf19.1729
orf19.1723	YJL055W_S.cer
orf19.1721	NCE103
orf19.1720	IRC5_S.cer
orf19.1719	SGA1
orf19.1714	PGA44
orf19.1709	orf19.1709
orf19.1702	ARF3
orf19.1699	BZZ1
orf19.1698	APP1_S.cer
orf19.1693	CAS4
orf19.1686	MPA43_S.cer
orf19.1685	ZCF7
orf19.1682	orf19.1682
orf19.1681	orf19.1681
orf19.1675	SRF1_S.cer
orf19.1671	UTR2
orf19.1667	orf19.1667
orf19.1666	DIG2_S.cer
orf19.1665	MNT1
orf19.1664	orf19.1664
orf19.1663	MNT2
orf19.1662	MRP1_S.cer
orf19.1661	DBP5
orf19.1659	ALG8
orf19.1658	PAL1_S.cer
orf19.1648	RAD50
orf19.1641	orf19.1641
orf19.1639	orf19.1639
orf19.1637	orf19.1637
orf19.1636	STE50
orf19.1634	orf19.1634
orf19.1632	orf19.1632
orf19.1623	CAP1
orf19.1621	GPA2
orf19.1619	CTK1_S.cer
orf19.1616	FGR23
orf19.1614	MEP1
orf19.1608	orf19.1608
orf19.1606	orf19.1606
orf19.233.1	HRT1
orf19.234	PHA2
orf19.238	CCP1
orf19.240	PAM17
orf19.242.2	YSY6_S.cer
orf19.245	DDC1
orf19.246	YIL108W_S.cer
orf19.250	SLC1
orf19.255	ZCF1
orf19.259	RSA1_S.cer
orf19.260	SLD1
orf19.261	SEC59_S.cer
orf19.264	orf19.264
orf19.273	NSG2_S.cer
orf19.277	THI6
